id,page,class,gt_text_status,gt_text,char_len,bbox_norm
e0041,3,section_header,programmatic_verified,SECTION 2 -- Surgical Instruments & Sets    316L SS | Autoclave Compatible | ISO 17664,86,"{""x"": 0.047, ""y"": 0.0475, ""w"": 0.9059, ""h"": 0.038}"
e0042,3,title,programmatic_verified,Patient Monitor Series -- Feature Comparison    Choose the right monitor for your department,92,"{""x"": 0.047, ""y"": 0.6056, ""w"": 0.9059, ""h"": 0.0261}"
e0043,3,table,out_of_scope_for_track_a,,0,"{""x"": 0.047, ""y"": 0.6318, ""w"": 0.9059, ""h"": 0.335}"
e0044,3,product_card,out_of_scope_for_track_a,,0,"{""x"": 0.047, ""y"": 0.0926, ""w"": 0.4429, ""h"": 0.5035}"
e0045,3,caption,programmatic_verified,"MC-SS-PRO42    EUR 1,870 / set",30,"{""x"": 0.047, ""y"": 0.0926, ""w"": 0.4429, ""h"": 0.0178}"
e0046,3,figure,out_of_scope_for_track_a,,0,"{""x"": 0.047, ""y"": 0.1152, ""w"": 0.4429, ""h"": 0.2197}"
e0047,3,title,programmatic_verified,SurgSet Pro 42-Piece,20,"{""x"": 0.047, ""y"": 0.3397, ""w"": 0.4429, ""h"": 0.019}"
e0048,3,paragraph,programmatic_verified,"316L stainless steel, mirror-polished. Laser-etched ID codes per ISO 17664. Autoclave-compatible up to 134 C.",109,"{""x"": 0.047, ""y"": 0.3635, ""w"": 0.4429, ""h"": 0.0451}"
e0049,3,spec_list,programmatic_verified,"Material: 316L Stainless Steel
Autoclave: 134 C / 3 bar
Pieces: 42 instruments
Tray: Perforated SS with lid",107,"{""x"": 0.047, ""y"": 0.4134, ""w"": 0.4429, ""h"": 0.0594}"
e0050,3,price_tag,programmatic_verified,"EUR 1,870 / set",15,"{""x"": 0.047, ""y"": 0.4775, ""w"": 0.4429, ""h"": 0.0261}"
e0051,3,product_card,out_of_scope_for_track_a,,0,"{""x"": 0.5101, ""y"": 0.0926, ""w"": 0.4429, ""h"": 0.5035}"
e0052,3,caption,programmatic_verified,"MC-LT-5MM    EUR 3,250 / set",28,"{""x"": 0.5101, ""y"": 0.0926, ""w"": 0.4429, ""h"": 0.0178}"
e0053,3,figure,out_of_scope_for_track_a,,0,"{""x"": 0.5101, ""y"": 0.1152, ""w"": 0.4429, ""h"": 0.2197}"
e0054,3,title,programmatic_verified,LaparoTroc 5mm Trocar Set,25,"{""x"": 0.5101, ""y"": 0.3397, ""w"": 0.4429, ""h"": 0.019}"
e0055,3,paragraph,programmatic_verified,Radially dilating tip reduces port-site trauma. Valveless cannula minimizes gas leakage during pneumoperitoneum.,112,"{""x"": 0.5101, ""y"": 0.3635, ""w"": 0.4429, ""h"": 0.0451}"
e0056,3,spec_list,programmatic_verified,"Sizes: 5 mm / 10 mm / 12 mm
Tip: Radially dilating
Valve: Valveless cannula
Sterilize: EtO / Autoclave 134 C",108,"{""x"": 0.5101, ""y"": 0.4134, ""w"": 0.4429, ""h"": 0.0594}"
e0057,3,price_tag,programmatic_verified,"EUR 3,250 / set",15,"{""x"": 0.5101, ""y"": 0.4775, ""w"": 0.4429, ""h"": 0.0261}"
e0058,4,header,programmatic_verified,"MedCore
INSTRUMENTS INTERNATIONAL
Precision. Reliability. Care.
Page 4 of 4
www.medcore-intl.com
ISO 13485:2016 | CE Marked | FDA 510(k)",136,"{""x"": 0.0, ""y"": 0.0, ""w"": 1.0, ""h"": 0.0475}"
e0059,4,footer,programmatic_verified,"MedCore Instruments International GmbH | 48 Commerce Blvd, Frankfurt 60311 | procurement@medcore-intl.com
Tel: +49 69 4521 8800 | All products for professional medical use only
p.4",180,"{""x"": 0.0, ""y"": 0.9667, ""w"": 1.0, ""h"": 0.0333}"
e0060,4,section_header,programmatic_verified,ORDERING * AFTER-SALES * CONTACT,32,"{""x"": 0.047, ""y"": 0.0475, ""w"": 0.9059, ""h"": 0.038}"
e0061,4,section_header,programmatic_verified,Download Catalogue | Request Demo | Apply for Credit Account | www.medcore-intl.com,83,"{""x"": 0.047, ""y"": 0.9406, ""w"": 0.9059, ""h"": 0.0261}"
e0062,4,section_header,programmatic_verified,Ordering & Delivery,19,"{""x"": 0.047, ""y"": 0.0926, ""w"": 0.2908, ""h"": 0.0261}"
e0063,4,title,programmatic_verified,STEP 1 - Request a Quote,24,"{""x"": 0.047, ""y"": 0.1235, ""w"": 0.2908, ""h"": 0.019}"
e0064,4,paragraph,programmatic_verified,Submit RFQ at www.medcore-intl.com/rfq. Include product codes and quantities. Response within 24 business hours.,112,"{""x"": 0.047, ""y"": 0.1473, ""w"": 0.2908, ""h"": 0.038}"
e0065,4,title,programmatic_verified,STEP 2 - Receive Proforma Invoice,33,"{""x"": 0.047, ""y"": 0.19, ""w"": 0.2908, ""h"": 0.019}"
e0066,4,paragraph,programmatic_verified,"Proforma invoice issued within 24 hours, valid 30 days. Full itemization included.",82,"{""x"": 0.047, ""y"": 0.2138, ""w"": 0.2908, ""h"": 0.0309}"
e0067,4,title,programmatic_verified,STEP 3 - Payment Terms,22,"{""x"": 0.047, ""y"": 0.2494, ""w"": 0.2908, ""h"": 0.019}"
e0068,4,paragraph,programmatic_verified,"Net 30 for approved accounts. 50% advance for new clients. LC accepted for orders > EUR 50,000.",95,"{""x"": 0.047, ""y"": 0.2732, ""w"": 0.2908, ""h"": 0.038}"
e0069,4,title,programmatic_verified,STEP 4 - Shipping,17,"{""x"": 0.047, ""y"": 0.316, ""w"": 0.2908, ""h"": 0.019}"
e0070,4,paragraph,programmatic_verified,DDP worldwide. Standard: 7-10 days (Europe). Express: 2-3 days DHL Medical Express. GPS + temp tracking.,104,"{""x"": 0.047, ""y"": 0.3397, ""w"": 0.2908, ""h"": 0.038}"
e0071,4,section_header,programmatic_verified,Warranty & Support,18,"{""x"": 0.3546, ""y"": 0.0926, ""w"": 0.2908, ""h"": 0.0261}"
e0072,4,list,programmatic_verified,"* Electronic instruments: 2-year warranty
* Surgical steel: Lifetime on defects
* Consumables: Lot-controlled replacement
* Software: Free lifetime OTA updates",159,"{""x"": 0.3546, ""y"": 0.1235, ""w"": 0.2908, ""h"": 0.0831}"
e0073,4,title,programmatic_verified,ServicePlus Plans,17,"{""x"": 0.3546, ""y"": 0.2138, ""w"": 0.2908, ""h"": 0.0261}"
e0074,4,table,out_of_scope_for_track_a,,0,"{""x"": 0.3546, ""y"": 0.2471, ""w"": 0.2908, ""h"": 0.1307}"
e0075,4,paragraph,programmatic_verified,ISO/IEC 17025 accredited calibration from EUR 120/instrument.,61,"{""x"": 0.3546, ""y"": 0.3848, ""w"": 0.2908, ""h"": 0.0594}"
e0076,4,section_header,programmatic_verified,Get In Touch,12,"{""x"": 0.6622, ""y"": 0.0926, ""w"": 0.2908, ""h"": 0.0261}"
e0077,4,map,out_of_scope_for_track_a,,0,"{""x"": 0.6622, ""y"": 0.1235, ""w"": 0.2908, ""h"": 0.1307}"
e0078,4,paragraph,programmatic_verified,"MedCore Instruments International GmbH Suite 1200, Meridian Medical Tower 48 Commerce Blvd, Frankfurt 60311, Germany Tel: +49 69 4521 8800",138,"{""x"": 0.6622, ""y"": 0.2613, ""w"": 0.2908, ""h"": 0.0713}"
e0079,4,list,programmatic_verified,"London UK: +44 20 7946 0832
New York USA: +1 646 880 4421
Singapore: +65 6438 7710
Mumbai India: +91 22 4890 3300
Dubai UAE: +971 4 456 9100",140,"{""x"": 0.6622, ""y"": 0.3397, ""w"": 0.2908, ""h"": 0.0831}"
e0080,4,paragraph,programmatic_verified,sales@medcore-intl.com www.medcore-intl.com Live chat: 24/7,59,"{""x"": 0.6622, ""y"": 0.43, ""w"": 0.2908, ""h"": 0.0618}"
